Day,Ground_Truth,MRI_Measurement,Mechanistic_Prediction,Digital_Twin_Estimate,Kalman_Gain,Relative_Error_Percent,Decision
0,3.1127033607501797,3.117901016635148,3.101153543610692,3.1178943865983215,0.9996041171813144,0.5400401105247091,CONTINUE
1,3.1161066523795204,3.1317431098150665,3.1039546180197504,3.1307138913245023,0.9629624199058664,0.8952608918310981,CONTINUE
2,2.9740426352639213,2.9493036210463597,2.974023351996065,2.9502204242731245,0.9629120871651058,0.8311881926923778,CONTINUE
3,2.7616541950052294,2.7352450627435436,2.7287444703899473,2.7350039688909,0.9629120179316233,0.2382264966227266,CONTINUE
4,2.5174105793328385,2.5278494106451763,2.488653117695121,2.526395699231365,0.9629120178363914,1.5750002550117221,CONTINUE
5,2.292823619421768,2.2987633128864315,2.288111403309899,2.298368255054047,0.9629120178362603,0.4655328215717048,CONTINUE
6,2.1147109559403057,2.1197208129472234,2.104668465753251,2.119162551762971,0.9629120178362601,0.7151885172843773,CONTINUE
7,1.9525895851902297,1.9595185493801692,1.9462536450873569,1.9590265808463536,0.9629120178362601,0.6815609222515785,CONTINUE
8,1.7717782303105747,1.758177735879005,1.7749878943544248,1.758801190736711,0.9629120178362601,0.9470576407245785,CONTINUE
9,1.5959849804640291,1.6006300544072491,1.5796958375269223,1.5998536465449797,0.9629120178362601,1.3252055479933518,CONTINUE
10,1.4266069384147049,1.4324683878806785,1.428513780855336,1.432321719485858,0.9629120178362601,0.2768336629538562,CONTINUE
11,1.2695952024695587,1.2553081741090313,1.27381763117508,1.2559946525225574,0.9629120178362601,1.4530696241795573,CONTINUE
12,1.1293446588676292,1.1666601490905244,1.1157897765776863,1.1647734696221055,0.9629120178362601,4.5591359215412455,CONTINUE
13,1.0100394849557635,1.0195161433739992,1.0397245930606633,1.020265633995535,0.9629120178362601,1.9436348646112152,CONTINUE
14,0.9070114307663681,0.8831853608223151,0.9135208223223302,0.8843104418773565,0.9629120178362601,3.320719217203723,CONTINUE
15,0.8111753278516518,0.8243064000243284,0.7881149315399367,0.8229641314866998,0.9629120178362601,4.5921561736782985,CONTINUE
16,0.7213992627026938,0.7019056292981474,0.7310115292250213,0.7029851083954949,0.9629120178362601,3.9815924596607184,CONTINUE
17,0.6400825515729665,0.6558242436478154,0.6230020141370983,0.6546069333851477,0.9629120178362601,5.2683986192529755,CONTINUE
18,0.5667488953521012,0.5899208069322492,0.5791409224318904,0.5895210027681728,0.9629120178362601,1.8613577598855642,CONTINUE
19,0.5012474532381634,0.48483380687112926,0.521337039633243,0.4861876381167294,0.9629120178362601,7.001849089370952,CONTINUE
20,0.44464501885681507,0.4639125414417015,0.4312359606304344,0.46270063299540126,0.9629120178362601,7.577424842653759,CONTINUE
21,0.3954487902318921,0.4037044087706221,0.41137438060530934,0.40398887254922333,0.9629120178362601,1.8644748424540736,CONTINUE
22,0.3508847827733914,0.3673259859732812,0.358298377746169,0.3669911702003728,0.9629120178362601,2.5195783145598427,CONTINUE
23,0.31055898834258594,0.3484948479956649,0.3248984843299291,0.34761970648090096,0.9629120178362601,7.2626881330028095,CONTINUE
24,0.27452605768225213,0.2696182953621947,0.3073334947859928,0.27101707600572644,0.9629120178362601,12.271750415639048,REPLAN
25,0.24239980814092493,0.22732508485377514,0.2393800160318622,0.22777217792629315,0.9629120178362601,5.035897055200513,CONTINUE
26,0.213976545313757,0.19618625672124654,0.20114479119665452,0.19637015875942876,0.9629120178362601,2.4651567887532995,CONTINUE
27,0.18928065693083668,0.1729644512315279,0.17382205753921887,0.17299625811897104,0.9629120178362601,0.4933817490323218,CONTINUE
28,0.16776013538356416,0.16621810119528208,0.15347381632292603,0.16574544138524652,0.9629120178362601,8.30388217201861,CONTINUE
29,0.14844797996252812,0.155271019458861,0.14678327328150403,0.15495622608002482,0.9629120178362601,5.782502316240745,CONTINUE
30,0.13124230022464434,0.13677611621124472,0.13704762183118294,0.13678618580683435,0.9629120178362601,0.19811042053152975,CONTINUE
31,0.11587815459694903,0.13242181957766952,0.1208579531259897,0.13199293910496573,0.9629120178362601,9.568146863802124,CONTINUE
32,0.10225578822908217,0.10251582606664031,0.11653163274273763,0.10303564405465383,0.9629120178362601,12.027469577328825,REPLAN
33,0.09021559257296839,0.11928627411611473,0.09095724645033608,0.11823560764333024,0.9629120178362601,31.14543235568008,REPLAN
34,0.07974137498229604,0.07444823831753691,0.10460056147635376,0.07556652714104643,0.9629120178362601,28.826158037051403,REPLAN
35,0.07061812896865738,0.12502151230044975,0.06701203955259392,0.12287005800984932,0.9629120178362601,86.56574719282719,REPLAN
36,0.06245705761725799,0.07497040457255812,0.10876870609990513,0.07622391537676906,0.9629120178362601,31.073552990786652,REPLAN
37,0.055197102165269525,0.038053951036943874,0.0674060906268503,0.03914256266652193,0.9629120178362601,43.5452335492876,REPLAN
38,0.0487330135976373,0.027315163636415053,0.0345892139989159,0.02758494348651763,0.9629120178362601,21.02982265722729,REPLAN
39,0.042998757468877616,0.052648205773741324,0.024360921434550778,0.051599087476708785,0.9629120178362601,116.11746466646807,REPLAN
40,0.03793819255057392,0.033468936844056905,0.045559677923379685,0.033917358033553224,0.9629120178362601,26.53824967695441,REPLAN
41,0.033540967591823276,0.047820977473665115,0.03002599076013366,0.04716099732382967,0.9629120178362601,59.265277391473624,REPLAN
42,0.029716897187176648,0.03918164967864755,0.041856897589522345,0.039280869225449655,0.9629120178362601,6.391414712839271,CONTINUE
43,0.02628363246167332,0.024827054208535863,0.03480912962792845,0.025197269243647402,0.9629120178362601,28.676601587256172,REPLAN
44,0.0232241088551266,0.006288234493758503,0.02230437111349035,0.006882240683043139,0.9629120178362601,71.80716523338695,REPLAN
45,0.02050770441949277,0.0,0.006088690064684387,0.00022581722851955453,0.9629120178362601,100.0,REPLAN
46,0.018089586838012223,0.009159287796671802,0.00019982843378107073,0.008826999527624158,0.9629120178362601,4483.57583220944,REPLAN
47,0.015950193230621093,0.033078169117090536,0.007806300654773073,0.03214088651031573,0.9629120178362601,323.736806714782,REPLAN
48,0.014086910736057816,0.018368785618661895,0.028517814909980562,0.018745192635997596,0.9629120178362601,35.58838334337722,REPLAN
49,0.01246542391909669,0.0,0.016700937725769183,0.0006194040804910587,0.9629120178362601,100.0,REPLAN
50,0.011019827059088237,0.014483445576111878,0.0005519342132889626,0.013966753931173562,0.9629120178362601,2524.1253445415855,REPLAN
51,0.009738543465588308,0.017444891060165044,0.012404648352811255,0.017257958628533784,0.9629120178362601,40.631887047499596,REPLAN
52,0.00860783449824522,0.0,0.015302438487352684,0.0005675365656806625,0.9629120178362601,100.0,REPLAN
53,0.0076020650896771284,0.010676567208587687,0.0005033213484986747,0.010299262047581364,0.9629120178362601,2021.222801384074,REPLAN
54,0.006710617703433038,0.007874792072353035,0.009126345128605816,0.007921209649780313,0.9629120178362601,13.713628387007692,REPLAN
55,0.0059393971890810094,0.0,0.0070581240440887195,0.00026177157865662614,0.9629120178362601,100.0,REPLAN
56,0.0052723864342909465,0.012428133641256611,0.0002356929329367424,0.011975940617733988,0.9629120178362601,5173.01921462032,REPLAN
57,0.004667551277894349,0.01588324180525904,0.01071000095382823,0.015691376740832444,0.9629120178362601,48.302898139160874,REPLAN
58,0.004128588812904525,0.025789613676410066,0.013988350137425842,0.025351928624766623,0.9629120178362601,84.36494242026396,REPLAN
59,0.003651774061275549,0.02472781510197361,0.022539828606530088,0.024646667097856095,0.9629120178362601,9.70720112223761,CONTINUE
